ID,Date,Home Team,Home Score,Away Team,Away Score
1,2010-04-04,Boston Red Sox,9,New York Yankees,7
2,2010-04-05,LA Angels of Anaheim,6,Minnesota Twins,3
3,2010-04-05,Arizona D'Backs,6,San Diego Padres,3
4,2010-04-05,Atlanta Braves,16,Chicago Cubs,5
5,2010-04-05,Cincinnati Reds,6,St. Louis Cardinals,11
6,2010-04-05,Houston Astros,2,San Francisco Giants,5
7,2010-04-05,Kansas City Royals,4,Detroit Tigers,8
8,2010-04-05,Milwaukee Brewers,3,Colorado Rockies,5
9,2010-04-05,New York Mets,7,Florida Marlins,1
10,2010-04-05,Oakland Athletics,3,Seattle Mariners,5
11,2010-04-05,Pittsburgh Pirates,11,Los Angeles Dodgers,5
12,2010-04-05,Texas Rangers,5,Toronto Blue Jays,4
13,2010-04-05,Washington Nationals,1,Philadelphia Phillies,11
14,2010-04-06,LA Angels of Anaheim,3,Minnesota Twins,5
15,2010-04-06,Arizona D'Backs,3,San Diego Padres,6
16,2010-04-06,Boston Red Sox,4,New York Yankees,6
17,2010-04-06,Milwaukee Brewers,7,Colorado Rockies,5
18,2010-04-06,Oakland Athletics,2,Seattle Mariners,1
19,2010-04-06,Tampa Bay Rays,4,Baltimore Orioles,3
20,2010-04-07,LA Angels of Anaheim,2,Minnesota Twins,4
21,2010-04-07,Arizona D'Backs,5,San Diego Padres,3
22,2010-04-07,Atlanta Braves,3,Chicago Cubs,2
23,2010-04-07,Boston Red Sox,1,New York Yankees,3
24,2010-04-07,Chicago White Sox,3,Cleveland Indians,5
25,2010-04-07,Cincinnati Reds,3,St. Louis Cardinals,6
26,2010-04-07,Houston Astros,4,San Francisco Giants,10
27,2010-04-07,Kansas City Royals,3,Detroit Tigers,2
28,2010-04-07,Milwaukee Brewers,5,Colorado Rockies,4
29,2010-04-07,New York Mets,6,Florida Marlins,7
30,2010-04-07,Oakland Athletics,6,Seattle Mariners,5
31,2010-04-07,Pittsburgh Pirates,4,Los Angeles Dodgers,3
32,2010-04-07,Tampa Bay Rays,4,Baltimore Orioles,3
33,2010-04-07,Texas Rangers,4,Toronto Blue Jays,7
34,2010-04-07,Washington Nationals,4,Philadelphia Phillies,8
35,2010-04-08,LA Angels of Anaheim,1,Minnesota Twins,10
36,2010-04-08,Chicago White Sox,3,Cleveland Indians,5
